Directory,Filename,CreateDate,GPSLatitude,GPSLongitude
/Users/eddiedickey/Flickr/2014,bridge-over-stream-bed_14313802881_o.jpg,2014:05:26 16:28:09,37.9436277777778,-122.595028333333
/Users/eddiedickey/Flickr/2014,hatch-chilies_15023304642_o.jpg,2014:08:24 11:39:25,37.9473133333333,-122.523554444444
/Users/eddiedickey/Flickr/2014,muddy-boots_15983428265_o.jpg,,,
/Users/eddiedickey/Flickr/2014,juniors_13938073321_o.jpg,2014:04:06 17:47:02,,
/Users/eddiedickey/Flickr/2014,football_15018252324_o.jpg,,,
/Users/eddiedickey/Flickr/2014,arrow-to-your-heart_13938990021_o.jpg,2014:04:11 12:52:51,,
/Users/eddiedickey/Flickr/2014,view-from-kitchen_15733310228_o.jpg,2014:11:30 12:36:57,37.9073463888889,-122.551279444444
/Users/eddiedickey/Flickr/2014,football_15325576537_o.jpg,,,
/Users/eddiedickey/Flickr/2014,glass_14502120028_o.jpg,2014:06:13 07:36:04,37.9429966666667,-122.480603611111
/Users/eddiedickey/Flickr/2014,football_15420127690_o.jpg,,,
/Users/eddiedickey/Flickr/2014,spinnaker-point_14686336844_o.jpg,2014:06:26 08:57:21,37.9504977777778,-122.479788888889
/Users/eddiedickey/Flickr/2014,football_15337417267_o.jpg,,,
/Users/eddiedickey/Flickr/2014,home-skies_14134240750_o.jpg,2014:01:24 17:27:17,37.9653547222222,-122.4940725
/Users/eddiedickey/Flickr/2014,view-from-the-new-living-room_15418640376_o.jpg,2014:10:04 16:31:57,37.9673652777778,-122.518741944444
/Users/eddiedickey/Flickr/2014,my-bro--josie-whails_15186975128_o.jpg,2014:09:27 12:43:46,38.95772,-120.081169444444
/Users/eddiedickey/Flickr/2014,football_15723334032_o.jpg,,,
/Users/eddiedickey/Flickr/2014,a-path_14616933266_o.jpg,2014:07:05 11:13:59,37.9056133333333,-122.547444444444
/Users/eddiedickey/Flickr/2014,tee-shot_14390432829_o.jpg,2014:07:04 18:26:25,38.0227625,-122.520222777778
/Users/eddiedickey/Flickr/2014,the-banks-of-corte-madera-creek_14390410578_o.jpg,2014:07:04 14:11:34,37.9529302777778,-122.5429275
/Users/eddiedickey/Flickr/2014,football_15536356308_o.jpg,,,
