SourceFile,CreateDate
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0195.mov,2014:10:20 00:06:15
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Transcoded Media/High Quality Media/HDV_0181.mov,2014:10:20 00:02:56
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0164.mp4,2014:10:19 02:33:51
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0170.mp4,2014:10:19 02:39:44
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0158.mp4,2014:10:19 02:22:48
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0159.mp4,2014:10:19 02:23:24
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0171.mp4,2014:10:19 02:53:37
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0165.mp4,2014:10:19 02:34:45
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0173.mp4,2014:10:19 02:58:25
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0167.mp4,2014:10:19 02:36:15
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0198.mp4,2014:10:19 03:32:13
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0166.mp4,2014:10:19 02:35:21
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0172.mp4,2014:10:19 02:57:32
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0176.mp4,2014:10:19 03:04:05
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0162.mp4,2014:10:19 02:32:14
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0189.mp4,2014:10:19 03:15:14
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0188.mp4,2014:10:19 03:14:34
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0163.mp4,2014:10:19 02:33:03
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0177.mp4,2014:10:19 03:04:35
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0149.mp4,2014:10:19 02:06:37
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0161.mp4,2014:10:19 02:30:55
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0175.mp4,2014:10:19 03:00:16
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0174.mp4,2014:10:19 02:59:00
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0160.mp4,2014:10:19 02:24:10
/Users/eddiedickey/Feb2020/Movies/Tommy Football 2014.fcpbundle/10-19-14/Original Media/HDV_0148.mp4,2014:10:19 02:05:02
