SourceFile,CreateDate,GPSLatitude,GPSLongitude
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09/clip-2009-10-18 12;58;35.mov,2009:10:21 05:16:29,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09/iMovie Thumbnails/iMovie Cache/Cache.plist,,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09/iMovie Thumbnails/iMovie Cache/Cache.mov,2010:05:29 21:20:45,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09/clip-2009-10-18 15;31;34.mov,2009:10:21 05:29:21,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09/clip-2009-10-18 15;39;19.mov,2009:10:21 05:33:48,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 2/clip-2009-10-02 14;29;31.mov,2009:10:15 06:54:39,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 2/iMovie Cache/Cache.plist,,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 2/iMovie Cache/Cache.mov,2010:05:29 21:20:43,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 2/clip-2009-10-02 19;48;52.mov,2009:10:15 07:02:03,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 2/iMovie Thumbnails/iMovie Cache/Cache.plist,,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 2/iMovie Thumbnails/iMovie Cache/Cache.mov,2010:05:29 21:20:43,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 2/clip-2009-10-02 20;10;23.mov,2009:10:15 07:08:02,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 4/iMovie Cache/Cache.plist,,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 4/iMovie Cache/Cache.mov,2010:05:29 21:20:44,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 4/clip-2009-10-13 13;53;00.mov,2009:10:15 07:28:54,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 4/iMovie Thumbnails/iMovie Cache/Cache.plist,,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 4/iMovie Thumbnails/iMovie Cache/Cache.mov,2010:05:29 21:20:44,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/For Alex.mov,2010:05:30 06:38:59,,
/Users/eddiedickey/Feb2020/Movie-files/Movies/IMG_0123-2.MOV,2010:10:03 19:24:27,37.7948,-122.3929
/Users/eddiedickey/Feb2020/Movie-files/Movies/IMG_1004.MOV,2011:05:11 15:53:30,37.8387,-122.2909
/Users/eddiedickey/Feb2020/Movie-files/Movies/IMG_0871.MOV,2011:03:24 02:58:36,33.432,-111.9414
/Users/eddiedickey/Feb2020/Movie-files/Movies/IMG_0119.MOV,2010:10:03 16:02:53,37.7957,-122.3942
/Users/eddiedickey/Feb2020/Movie-files/Movies/IMG_0784.MOV,2011:03:07 04:58:54,37.8921,-122.2997
/Users/eddiedickey/Feb2020/Movie-files/Movies/IMG_0975.MOV,2011:04:20 01:11:49,37.9451,-122.5097
/Users/eddiedickey/Feb2020/Movie-files/Movies/IMG_0961.MOV,2011:04:17 00:47:57,38.0369,-122.5438
/Users/eddiedickey/Feb2020/Movie-files/Movies/IMG_0744.MOV,2011:02:26 20:24:35,37.8814,-122.2905
/Users/eddiedickey/Feb2020/Movie-files/Movies/IMG_0156.MOV,2010:10:10 18:09:46,37.8671,-122.3011
/Users/eddiedickey/Feb2020/Movie-files/Movies/IMG_0157.MOV,2010:10:10 19:42:15,38.5826,-121.5064
/Users/eddiedickey/Feb2020/Movie-files/Movies/IMG_0779.MOV,2011:03:06 06:03:59,37.8792,-122.2929
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0056.MOV,2010:09:12 20:03:33,37.8911,-122.2823
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_1016.MOV,2011:05:12 15:45:08,37.8066,-122.4187
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0136.MOV,2010:10:06 19:06:58,37.8029,-122.4019
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0123.MOV,2010:10:03 19:24:27,37.7948,-122.3929
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0876.MOV,2011:03:24 20:29:26,33.4454,-111.9486
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_1003.MOV,2011:05:08 00:55:56,38.0368,-122.5439
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_1015.MOV,2011:05:12 02:55:43,38.0226,-122.5505
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0121.MOV,2010:10:03 17:24:14,37.7998,-122.457
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0120.MOV,2010:10:03 17:16:21,37.805,-122.449
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0123-2.MOV,2010:10:03 19:24:27,37.7948,-122.3929
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_1004.MOV,2011:05:11 15:53:30,37.8387,-122.2909
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0871.MOV,2011:03:24 02:58:36,33.432,-111.9414
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0119.MOV,2010:10:03 16:02:53,37.7957,-122.3942
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0784.MOV,2011:03:07 04:58:54,37.8921,-122.2997
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0975.MOV,2011:04:20 01:11:49,37.9451,-122.5097
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0961.MOV,2011:04:17 00:47:57,38.0369,-122.5438
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0744.MOV,2011:02:26 20:24:35,37.8814,-122.2905
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0156.MOV,2010:10:10 18:09:46,37.8671,-122.3011
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0157.MOV,2010:10:10 19:42:15,38.5826,-121.5064
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0779.MOV,2011:03:06 06:03:59,37.8792,-122.2929
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0973.MOV,2011:04:20 00:40:11,37.8786,-122.4209
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0783.MOV,2011:03:07 04:46:12,37.8921,-122.2997
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0959.MOV,2011:04:16 07:52:32,37.8738,-122.2823
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0780.MOV,2011:03:06 06:52:27,37.8792,-122.2929
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0820.MOV,2011:03:19 22:19:51,38.0225,-122.5503
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_1042.MOV,2011:05:21 00:23:05,37.7959,-122.393
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0994.MOV,2011:04:30 00:47:50,37.796,-122.3927
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies/IMG_0953.MOV,2011:04:16 07:18:58,37.8738,-122.2823
